Date,ICSA
1988-04-20,313000.0
1988-04-21,314000.0
1988-04-22,314000.0
1988-04-25,314000.0
1988-04-26,314000.0
1988-04-27,314000.0
1988-04-28,312000.0
1988-04-29,312000.0
1988-05-02,312000.0
1988-05-03,312000.0
1988-05-04,312000.0
1988-05-05,313000.0
1988-05-06,313000.0
1988-05-09,313000.0
1988-05-10,313000.0
1988-05-11,313000.0
1988-05-12,309000.0
1988-05-13,309000.0
1988-05-16,309000.0
1988-05-17,309000.0
1988-05-18,309000.0
1988-05-19,314000.0
1988-05-20,314000.0
1988-05-23,314000.0
1988-05-24,314000.0
1988-05-25,314000.0
1988-05-26,319000.0
1988-05-27,319000.0
1988-05-31,319000.0
1988-06-01,319000.0
1988-06-02,313000.0
1988-06-03,313000.0
1988-06-06,313000.0
1988-06-07,313000.0
1988-06-08,313000.0
1988-06-09,310000.0
1988-06-10,310000.0
1988-06-13,310000.0
1988-06-14,310000.0
1988-06-15,310000.0
1988-06-16,305000.0
1988-06-17,305000.0
1988-06-20,305000.0
1988-06-21,305000.0
1988-06-22,305000.0
1988-06-23,311000.0
1988-06-24,311000.0
1988-06-27,311000.0
1988-06-28,311000.0
1988-06-29,311000.0
1988-06-30,307000.0
1988-07-01,307000.0
1988-07-05,307000.0
1988-07-06,307000.0
1988-07-07,305000.0
1988-07-08,305000.0
1988-07-11,305000.0
1988-07-12,305000.0
1988-07-13,305000.0
1988-07-14,303000.0
1988-07-15,303000.0
1988-07-18,303000.0
1988-07-19,303000.0
1988-07-20,303000.0
1988-07-21,315000.0
1988-07-22,315000.0
1988-07-25,315000.0
1988-07-26,315000.0
1988-07-27,315000.0
1988-07-28,354000.0
1988-07-29,354000.0
1988-08-01,354000.0
1988-08-02,354000.0
1988-08-03,354000.0
1988-08-04,331000.0
1988-08-05,331000.0
1988-08-08,331000.0
1988-08-09,331000.0
1988-08-10,331000.0
1988-08-11,316000.0
1988-08-12,316000.0
1988-08-15,316000.0
1988-08-16,316000.0
1988-08-17,316000.0
1988-08-18,312000.0
1988-08-19,312000.0
1988-08-22,312000.0
1988-08-23,312000.0
1988-08-24,312000.0
1988-08-25,316000.0
1988-08-26,316000.0
1988-08-29,316000.0
1988-08-30,316000.0
1988-08-31,316000.0
1988-09-01,315000.0
1988-09-02,315000.0
1988-09-06,315000.0
1988-09-07,315000.0
1988-09-08,306000.0
1988-09-09,306000.0
1988-09-12,306000.0
1988-09-13,306000.0
1988-09-14,306000.0
1988-09-15,305000.0
1988-09-16,305000.0
1988-09-19,305000.0
1988-09-20,305000.0
1988-09-21,305000.0
1988-09-22,306000.0
1988-09-23,306000.0
1988-09-26,306000.0
1988-09-27,306000.0
1988-09-28,306000.0
1988-09-29,301000.0
1988-09-30,301000.0
1988-10-03,301000.0
1988-10-04,301000.0
1988-10-05,301000.0
1988-10-06,292000.0
1988-10-07,292000.0
1988-10-10,292000.0
1988-10-11,292000.0
1988-10-12,292000.0
1988-10-13,292000.0
1988-10-14,292000.0
1988-10-17,292000.0
1988-10-18,292000.0
1988-10-19,292000.0
1988-10-20,293000.0
1988-10-21,293000.0
1988-10-24,293000.0
1988-10-25,293000.0
1988-10-26,293000.0
1988-10-27,286000.0
1988-10-28,286000.0
1988-10-31,286000.0
1988-11-01,286000.0
1988-11-02,286000.0
1988-11-03,294000.0
1988-11-04,294000.0
1988-11-07,294000.0
1988-11-08,294000.0
1988-11-09,294000.0
1988-11-10,285000.0
1988-11-11,285000.0
1988-11-14,285000.0
1988-11-15,285000.0
1988-11-16,285000.0
1988-11-17,284000.0
1988-11-18,284000.0
1988-11-21,284000.0
1988-11-22,284000.0
1988-11-23,284000.0
1988-11-25,284000.0
1988-11-28,284000.0
1988-11-29,284000.0
1988-11-30,284000.0
1988-12-01,299000.0
1988-12-02,299000.0
1988-12-05,299000.0
1988-12-06,299000.0
1988-12-07,299000.0
1988-12-08,298000.0
1988-12-09,298000.0
1988-12-12,298000.0
1988-12-13,298000.0
1988-12-14,298000.0
1988-12-15,285000.0
1988-12-16,285000.0
1988-12-19,285000.0
1988-12-20,285000.0
1988-12-21,285000.0
1988-12-22,293000.0
1988-12-23,293000.0
1988-12-27,293000.0
1988-12-28,293000.0
1988-12-29,286000.0
1988-12-30,286000.0
1989-01-03,286000.0
1989-01-04,286000.0
1989-01-05,304000.0
